engine_id, real_rul, predicted_rul     , error              , absolute_error     , ci_lower           , ci_upper           , ci_width            , std_total           , var_total            , var_aleatoric        , var_epistemic
        1,    112.0, 59.66218566894531 , -52.33781433105469 , 52.33781433105469  , -153.3672332763672 ,  272.69158935546875,   426.058837890625  ,  108.6884765625     ,    11813.1845703125  ,    11813.1845703125  , 1.599692041054368e-05
        2,     98.0, 57.069400787353516, -40.930599212646484, 40.930599212646484 , -103.52606201171875,  217.66485595703125,   321.19091796875   ,   81.93645477294922 ,     6713.58251953125 ,     6713.58251953125 , 1.3061326171737164e-05
        3,     69.0, 56.91460037231445 , -12.085399627685547, 12.085399627685547 , -88.50625610351562 ,  202.33544921875   ,   290.8417053222656 ,   74.1943130493164  ,     5504.79638671875 ,     5504.79638671875 , 1.1960255505982786e-05
        4,     82.0, 57.6970100402832  , -24.302989959716797, 24.302989959716797 , -102.28398132324219,  217.67799377441406,   319.96197509765625,   81.6229476928711  ,     6662.30517578125 ,     6662.30517578125 , 1.75278473761864e-05
        5,     91.0, 54.82416915893555 , -36.17583084106445 , 36.17583084106445  , -85.48391723632812 ,  195.13226318359375,   280.6161804199219 ,   71.58576202392578 ,     5124.52099609375 ,     5124.52099609375 , 1.158194208983332e-05
        6,     93.0, 54.266876220703125, -38.733123779296875, 38.733123779296875 , -63.06907653808594 ,  171.6028289794922 ,   234.67190551757812,   59.86528015136719 ,     3583.8515625     ,     3583.8515625     , 1.2618860637303442e-05
        7,     91.0, 57.97659683227539 , -33.02340316772461 , 33.02340316772461  , -92.52975463867188 ,  208.48294067382812,   301.0126953125    ,   76.78894805908203 ,     5896.54248046875 ,     5896.54248046875 , 1.55209272634238e-05
        8,     95.0, 56.91294479370117 , -38.08705520629883 , 38.08705520629883  , -103.23121643066406,  217.05711364746094,   320.288330078125  ,   81.70620727539062 ,     6675.904296875   ,     6675.904296875   , 1.394643186358735e-05
        9,    111.0, 54.635223388671875, -56.364776611328125, 56.364776611328125 , -63.14434051513672 ,  172.414794921875  ,   235.55914306640625,   60.09161376953125 ,     3611.002197265625,     3611.002197265625, 8.927177987061441e-06
       10,     96.0, 56.36748123168945 , -39.63251876831055 , 39.63251876831055  , -95.96917724609375 ,  208.70413208007812,   304.6733093261719 ,   77.7227783203125  ,     6040.830078125   ,     6040.830078125   , 1.2267941201571375e-05
       11,     97.0, 55.665977478027344, -41.334022521972656, 41.334022521972656 , -76.80767059326172 ,  188.13961791992188,   264.9472961425781 ,   67.58859252929688 ,     4568.2177734375  ,     4568.2177734375  , 1.0060030035674572e-05
       12,    124.0, 63.871822357177734, -60.128177642822266, 60.128177642822266 , -334.2186584472656 ,  461.9623107910156 ,   796.1809692382812 ,  203.10739135742188 ,    41252.61328125    ,    41252.61328125    , 1.605871511856094e-05
